label,message
1,dont forget you can place as many free requests with stchoicecouk as you wish for more information call
0,watching telugu moviewat abt u
1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv
1,goal arsenal henry v liverpool henry scores with a simple shot from yards from a pass by bergkamp to give arsenal a goal margin after mins
1,u are subscribed to the best mobile content service in the uk for per ten days until you send stop to helpline
1,bored housewives chat n date now btnational rate pmin only from landlines
0,so what did the bank say about the money
0,do u think that any girl will propose u today by seing ur bloody funky shit fucking faceasssssholeeee
1,we tried to contact you re our offer of new video phone anytime any network mins half price rental camcorder call or reply for delivery wed
0,oh thanks a loti already bought eggs
0,i liked your new house
0,pansy youve been living in a jungle for two years its my driving you should be more worried about
1,not heard from u a while call me now am here all night with just my knickers on make me beg for it like u did last time xx luv nikiyunet
0,webpage s not available
0,thats fine ill bitch at you about it later then
1,datingi have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence
0,dont know supports ass and srt i thnk i think ps can play through usb too
0,lemme know when i can swing by and pick up im free basically any time after all this semester
1,natalja f is inviting you to be her friend reply yes or no see her stop send stop frnd to
1,get your garden ready for summer with a free selection of summer bulbs and seeds worth only with the scotsman this saturday to stop go notxtcouk
0,dont make ne plans for nxt wknd coz she wants us to come down then ok
0,i have docs appointments next week im tired of them shoving stuff up me ugh why couldnt i have had a normal body
1,sexy singles are waiting for you text your age followed by your gender as wither m or f egf for gay men text your age followed by a g egg
0,the evo i just had to download flash jealous
0,you give us back my id proof and ltgt rs we wont allow you to work we will come to your home within days
0,u still going to the mall
0,no my blankets are sufficient thx
0,hey dont forget you are mine for me my possession my property mmm childish smile
0,ard lor i ok then message lor
0,den only weekdays got special price haiz cant eat liao cut nails oso muz wait until i finish drivin wat lunch still muz eat wat
1,we tried to contact you re your reply to our offer of mins textand a new video phone call now or reply for free delivery tomorrow
1,free ring tone just text polys to then every week get a new tone yrs only wk
0,ki will send in ltgt min
0,ok thanx gd nite too
0,until lor ya can go dinner together
0,do you think i can move ltgt in a week
0,great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love ltgt times per night
1,sorry i missed your call lets talk when you have the time im on
0,well im computerless time to make some oreo truffles
0,but i haf enuff space got like mb
0,if you are not coughing then its nothing
0,its a part of checking iq
0,no need lar i go engin cos my sis at arts today
0,pls go there today ltgt i dont want any excuses
0,pls ask macho how much is budget for bb bold is cos i saw a new one for ltgt dollars
0,good evening how are you
0,ya that one is slow as poo
1,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim j po boxcpm
1,all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to
1,great new offer double mins double txt on best orange tariffs and get latest camera phones free call mobileupd free on now or stoptxt tcs
0,yeah do dont stand to close tho youll catch something
0,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay
0,sorry vikky im watching olave mandara movie kano in trishul theatre wit my frnds
0,huh also cannot then only how many mistakes
1,you have won a guaranteed award or even cashto claim ur award call free on stop getstop on php rg jx
0,ha ha had popped down to the loo when you helloed me hello
0,havent
1,your next amazing xxx picsfree video will be sent to you enjoy if one vid is not enough for day text back the keyword picsfree to get the next video
0,how much are we getting
0,come to mahal bus stop ltdecimalgt
0,ooh got im gonna start belly dancing in moseley weds if u want join me they have a cafe too
0,nah im goin the wrks with j wot bout u
1,ur balance is now ur next question is who sang uptown girl in the s answer txt ur answer to good luck
1,free msgwe billed your mobile number by mistake from shortcode please call to have charges refundedthis call will be free from a bt landline
0,what are your new years plans
1,please call immediately as there is an urgent message waiting for you
0,and several to you sir
0,so when do you wanna gym harri
0,shant disturb u anymore jia you
0,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
1,you have been specially selected to receive a award call before the lines close cost ppm tcs apply ag promo
0,i wont do anything de
0,i can ask around but theres not a lot in terms of mids up here
0,ok i also wan watch e pm show
1,dear matthew please call from a landline your complimentary lux tenerife holiday or cash await collection ppm sae tcs box skxh
0,ok ill send you with in ltdecimalgt ok
0,if you mean the website yes
0,probably earlier than that if the stations where i think it is
0,waiting in e car my mum lor u leh reach home already
0,she went to attend another two rounds todaybut still didt reach home
1,win a year supply of cds a store of ur choice worth enter our weekly draw txt music to tscs
1,welcome to select an o service with added benefits you can now call our specially trained advisors free from your mobile by dialling
0,congrats kanowhr s the treat maga
0,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx
0,ssi thinl role is like sachinjust standing others have to hit
0,just re read it and i have no shame but tell me how he takes it and if he runs i will blame u ever not really ever just a long time
0,that sucks ill go over so u can do my hair youll do it free right
0,me too watching surya movie only after pm vijay movie pokkiri
0,hi babe its me thanks for coming even though it didnt go that welli just wanted my bed hope to see you soon love and kisses xxx
0,omw back to tampa from west palm you hear what happened
0,i tot u reach liao he said tshirt
0,you tell what happen dont behave like this to me ok no need to say
0,did u turn on the heater the heater was on and set to ltgt degrees
0,are you available for soiree on june rd
0,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni
0,its ok i just askd did u knw tht no
0,wen u miss someone
0,me i dont know again oh
0,yeah i imagine he would be really gentle unlike the other docs who treat their patients like turkeys
0,comin to fetch us oredi
0,what time should i tell my friend to be around
0,its not the same here still looking for a job how much do tas earn there
1,a xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a reward just call
0,k k pa had your lunch aha
0,oh shut it omg yesterday i had a dream that i had kids both boys i was so pissed not only about the kids but them being boys i even told mark in my dream that he was changing diapers cause im not getting owed in the face
1,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim a valid hrs only
1,uk break accommodationvouchers terms conditions apply claim you mustprovide your claim number which is
0,are you comingdown later
0,call me da i am waiting for your call
0,why do you ask princess
0,o ic lol should play doors sometime yo
0,horrible gal me in sch doing some stuff how come u got mc
0,hcl chennai requires freshers for voice processexcellent english neededsalary upto ltgt call mssuman ltgt for telephonic interview via indyarockscom
0,kall the bestcongrats
0,hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply
1,you have an important customer service announcement from premier call freephone now
0,says that hes quitting at leasttimes a day so i wudnt take much notice of that nah she didnt mind are you gonna see him again do you want to come to taunton tonight u can tell me all about
0,please sen my kind advice please come here and try
0,hello which the site to download songs its urgent pls
1,urgent your mobile was awarded a bonus caller prize on our final attempt contact u call
1,forwarded from please call immediately as there is an urgent message waiting for you
1,freeringtone reply real or poly eg real pushbutton dontcha babygoodbye golddigger webeburnin st tone free and more when u join for wk
0,how long has it been since you screamed princess
0,ok lor then we go tog lor
0,lol you forgot it eh yes ill bring it in babe
0,nope im not drivin i neva develop da photos lei
1,congratulations youve won youre a winner in our august prize draw call now prize code
0,im awake oh whats up
0,pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala
0,remember to ask alex about his pizza
0,moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night
0,alright were hooked up where you guys at
0,armand says get your ass over to epsilon
1,dear uve been invited to xchat this is our final attempt to contact u txt chat to
1,this is the nd attempt to contract u you have won this weeks top prize of either cash or prize just call
0,fyi im at usf now swing by the room whenever
0,how much would it cost to hire a hitman
0,thanx but my birthday is over already
0,i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished
1,accordingly i repeat just text the word ok on your mobile phone and send
0,princess is your kitty shaved or natural
1,freemsg you have been awarded a free mini digital camera just reply snap to collect your prize quizclub opt out stop pwk sprwm ph
0,so you think i should actually talk to him not call his boss in the morning i went to this place last year and he told me where i could go and get my car fixed cheaper he kept telling me today how much he hoped i would come back in how he always regretted not getting my number etc
1,dating service call boxskch
1,moby pub quizwin a high street prize if u know who the new duchess of cornwall will be txt her first name to unsub stop sp arrow
0,by the way make sure u get train to worc foregate street not shrub hill have fun night x
0,my stomach has been thru so much trauma i swear i just cant eat i better lose weight
0,we regret to inform u that the nhs has made a mistakeu were never actually bornplease report yor local hospital b terminatedwe r sorry the inconvenience
0,great i was getting worried about you just know that a wonderful and caring person like you will have only the best in life know that u r wonderful and gods love is yours
0,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng
1,married local women looking for discreet action now real matches instantly to your phone text match to msg cost p stop txt stop bcmsfwcnxx
0,hiya probably coming home weekend after next
1,call germany for only pence per minute call from a fixed line via access number no prepayment direct access
0,ugh hopefully the asus ppl dont randomly do a reformat
0,dunno lei i might b eatin wif my frens if wan to eat then i wait lar
0,happy new year princess
0,i went to ur hon lab but no one is there
1,hey i am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop
0,well imma definitely need to restock before thanksgiving ill let you know when im out
0,i dont have any of your file in my bagi was in work when you called mei ll tell you if i find anything in my room
0,my friend shes studying at warwick weve planned to go shopping and to concert tmw but it may be canceled havnt seen for ages yeah we should get together sometime
0,nobody names their penis a girls name this story doesnt add up at all
0,great so what attracts you to the brothas
0,i need to come home and give you some good lovin
0,are there ta jobs available let me know please cos i really need to start working
0,its reassuring in this crazy world
0,yar lor actually we quite fast cos da ge slow wat haha
1,we currently have a message awaiting your collection to collect your message just call
0,anytime lor
0,if you dont respond imma assume youre still asleep and imma start calling n shit
0,cool text me when you head out
1,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now
1,customer loyalty offerthe new nokia mobile from only at txtauction txt word start to no get yours now tctxt tc pmtmsg
0,i like you peoples very much but am very shy pa
0,tmr then brin lar aiya later i come n c lar mayb neva set properly got da help sheet wif
0,no problem baby is this is a good time to talk i called and left a message
0,unless its a situation where you go gurl would be more appropriate
1,urgent your mobile no was awarded a bonus caller prize on this is our nd attempt to contact you call boxqu
0,geeeee your internet is really bad today eh
0,thanx e brownie its v nice
0,university of southern california
0,where are you what do you do how can you stand to be away from me doesnt your heart ache without me dont you wonder of me dont you crave me
0,you always make things bigger than they are
1,you are a winner or guaranteed caller prize this is our final attempt to contact you to claim call now ppmpoboxbhambxe
1,freemsgfeelin kinda lnly hope u like keep me company jst got a cam moby wanna c my pictxt or reply date to msgp rcv hlp stop to
0,have you heard from this week
1,good luck draw takes place th feb good luck for removal send stop to customer services
1,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to optout txt eng stop box wwx
0,those were my exact intentions
1,do you want a new nokia i colour phone deliveredtomorrow with free minutes to any mobile free texts free camcorder reply or call
0,i got arrested for possession at i shit you not lttimegt pm
0,hello as per request from ltgt rs has been transfered to you
0,are you not around or just still asleep v
1,important information orange user xxxxxxx today is your lucky dayfind out why log onto theres a fantastic surprise awaiting you
0,watching tv now i got new job
0,ok be careful dont text and drive
0,gokila is talking with you aha
0,im cool ta luv but vtired cause i have been doin loads of planning all wk we have got our social services inspection at the nursery take care spk sn x
0,ffffffffff alright no way i can meet up with you sooner
1,hope you enjoyed your new content text stop to to unsubscribe helpp provided by tonesyoucouk
1,sms services for your inclusive text credits pls goto login qxj unsubscribe with stop no extra charge help comuk cm ae
0,hai ana tomarrow am coming on morning ltdecimalgt ill be there in sathy then we ll go to rto office reply me after came to home
0,im done
0,noits ful of song lyrics
0,oops am at my mums in somerset bit far back tomo see you soon x
0,the new deus ex game comin early next yr
0,will do you gonna be at blakes all night i might be able to get out of here a little early
0,well i meant as opposed to my drunken night of before
0,our prasanth ettans mother passed away last night just pray for her and family
1,i am hot n horny and willing i live local to you text a reply to hear strt back from me p per msg netcollex ltdhelpdesk reply stop to end
0,you getting back any time soon
0,oclock at mine just to bash out a flat plan
1,i want some cock my hubbys away i need a real man satisfy me txt wife to for no strings action txt stop end txt rec ea otbox la ws
0,every day i use to sleep after ltgt so only
0,s finish meeting call me
0,nt yet chikkusimple habbahw abt u
1,free entry in a weekly comp for a chance to win an ipod txt pod to to get entry std txt rate tcs apply for details
0,fine am simply sitting
0,thats cool where should i cum on you or in you
0,yes i thought so thanks
0,is ur paper today in e morn or aft
0,what time you thinkin of goin
0,i want to tel u one thing u should not mistake me k this is the message that you sent
0,do you want bold or bb torch
0,meanwhile in the shit suite xavier decided to give us ltgt seconds of warning that samantha was coming over and is playing jays guitar to impress her or some shit also i dont think doug realizes i dont live here anymore
0,i think ive fixed it can you send a test message
1,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists
0,ok let u noe when i leave my house
0,hey are we going for the lo lesson or gym
0,oops i did have it ltgt
0,sary just need tim in the bollox it hurt him a lot so he tol me
0,stop knowing me so well
1,show ur colours euro offer get an england flag lions tone on ur phone click on the following service message for info
1,save money on wedding lingerie at choose from a superb selection with national delivery brought to you by weddingfriend
0,dear how is chechi did you talk to her
0,nt joking seriously i told
0,ok i feel like john lennon
0,then wat r u doing now busy wif work
0,even my brother is not like to speak with me they treat me like aids patent
1,buy space invaders a chance win orig arcade game console press for games arcade std wap charge see ocoukgames terms settings no purchase
0,my birthday is on feb ltgt da
0,dude we should go sup again
0,hey hey werethe monkeespeople say we monkeyaround howdy gorgeous
0,dear sirsalam alaikkumpride and pleasure meeting you today at the tea shopwe are pleased to send you our contact number at qatarrakhesh an indianpls save our numberrespectful regards
0,coffee cake i guess
0,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng
0,yeah hopefully if tyler cant do it i could maybe ask around a bit
0,yes its possible but dint try pls dont tell to any one k
0,same here but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it dont matter
0,ok chinese food on its way when i get fat youre paying for my lipo
0,been running but only managed minutes and then needed oxygen might have to resort to the roller option
0,i av a new number wil u only use this oneta
0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
1,bought one ringtone and now getting texts costing pound offering more tones etc
0,i can take you at like noon
1,urgent your mobile no xxxxxxxxx won a bonus caller prize on this is the nd attempt to reach you call asap boxnqp ppm
0,talk to g and x about that
0,come lt n pass to me lar
0,if you have belive me come to my home
0,nimbomsons yep phone knows that one obviously cos thats a real word
0,then u going ikea str aft dat
0,remind me how to get there and i shall do so
0,want to finally have lunch today
0,nothing splwat abt u and whr ru
0,good afternoon my love it was good to see your words on ym and get your tm very smart move my slave smiles i drink my coffee and await you
0,well theres a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that im a weed fiendmake them smoke too muchimpede their doing other things so you see how im hesitant
0,i had been hoping i would not have to send you this message my rent is due and i dont have enough for it my reserves are completely gone its a loan i need and was hoping you could her the balance is ltgt is there a way i could get that from you till mid march when i hope to pay back
0,where at were hungry too
0,kay since we are out already
0,jade its paul y didnt u txt me do u remember me from barmed i want talk u txt me
0,just got up have to be out of the room very soon i hadnt put the clocks back til at i shouted at everyone to get up and then realised it was wahay another hour in bed
0,hey mr whats the name of that bill brison book the one about language and words
1,ur cashbalance is currently pounds to maximize ur cashin now send go to only pmsg cc hgsuitelands rowwjhl
0,as usualiam fine happy amp doing well
0,what do u want when i come backa beautiful necklace as a token of my heart for youthats what i will give but only to my wife of my likingbe that and seeno one can give you thatdont call mei will wait till i come
0,pleassssssseeeeee tel me v avent done sportsx
0,and i dont plan on staying the night but i prolly wont be back til late
0,got fujitsu ibm hp toshiba got a lot of model how to say
1,you are being ripped off get your mobile content from call polytruepixringtonesgames six downloads for only
0,sorry got a late start were on the way
0,i am at the gas station go there
0,take some small dose tablet for fever
0,nonenowhere ikno doesdiscountshitinnit
1,freemsg todays the day if you are ready im horny live in your town i love sex fun games netcollex ltd p per msg reply stop to end
0,i will be gentle baby soon you will be taking all ltgt inches deep inside your tight pussy
0,ok i asked for money how far
0,im in office now i will call you ltgt min
0,science tells that chocolate will melt under the sunlight please dont walk under the sunlight bcozi dont want to loss a sweet friend
0,i dunno until when lets go learn pilates
0,depends on where u going lor
1,freeringtonereply real
0,but im surprised she still can guess right lor
0,thanks for this hope you had a good day today
0,cheers for the message zogtorius ive been staring at my phone for an age deciding whether to text or not
0,nope c then
1,had your mobile mths update to the latest cameravideo phones for free keep ur same number get extra free minstexts text yes for a call
0,anything lor but toa payoh got place walk meh
1,hi this is amy we will be sending you a free phone number in a couple of days which will give you an access to all the adult parties
0,kkadvance happy pongal
0,appt is at lttimegt am not my fault u dont listen i told u twice
0,oic then better quickly go bathe n settle down
0,have you got xmas radio times if not i will get it now
0,aaooooright are you at work
0,wherres my boytoy
1,ur going bahamas callfreefone and speak to a live operator to claim either bahamas cruise of cash only to opt out txt x to
1,st wk free gr tones str u each wk txt nokia on to for classic nokia tones or hit on to for polys nokiap polyp
0,r going todays meeting
0,ooooooh i forgot to tell u i can get on yoville on my phone
1,missed call alert these numbers called but left no message
1,send a logo ur lover names joined by a heart txt love name name mobno eg love adam eve to yahoo poboxwwq txtno no ads p
0,thanks for yesterday sir you have been wonderful hope you enjoyed the burial mojibiola
0,aight let me know when youre gonna be around usf
0,i cant i dont have her number
0,hope ur head doesnt hurt much am ploughing my way through a pile of ironing staying in with a chinky tonight come round if you like
0,lol u still feeling sick
0,hmm well night night
0,i got to video tape pple type in message lor u so free wan help me hee cos i noe u wan watch infernal affairs so ask u along asking shuhui oso
0,hows things just a quick question
0,tacos rajas burrito right
0,like i made him throw up when we were smoking in our friends car one time it was awesome
0,noice text me when youre here
0,i was at bugis juz now wat but now im walking home oredi so late then reply i oso saw a top dat i like but din buy where r now
0,babe i lost you will you try rebooting
0,omg it could snow here tonite
0,dude while were makin those weirdy brownies my sister made awesome cookies i took pics
0,great how is the office today
0,hey are you going to quit soon xuhui and i working till end of the month
0,babe i miiiiiiissssssssss you i need you i crave you geeee im so sad without you babe i love you
0,am up to my eyes in philosophy
0,why didnt u call on your lunch
0,ok thanx take care then
0,mark works tomorrow he gets out at his work is by your house so he can meet u afterwards
0,sorry im stil fucked after last nite went tobed at got up work at
0,po de no need job aha
0,have a great trip to india and bring the light to everyone not just with the project but with everyone that is lucky to see you smile bye abiola
0,i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl
0,no im not gonna be able to too late notice ill be home in a few weeks anyway what are the plans
1,sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this msg is free recd msgs p inc vat cancel text stop
0,and dont worry well have finished by march ish
1,dear voucher holder to claim this weeks offer at you pc please go to tscs apply to stop texts txt stop to
0,not sure i have the stomach for it
0,am on a train back from northampton so im afraid not
0,hui xin is in da lib
0,hey sexy buns what of that day no word from you this morning on ym i think of you
0,he said that he had a right giggle when he saw u again you would possibly be the first persondie from nvq but think how much you could for
0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
1,you are now unsubscribed all services get tons of sexy babes or hunks straight to your phone go to no subscriptions
0,but if shes drinkin im ok
0,if you hear a loud scream in about ltgt minutes its cause my gyno will be shoving things up me that dont belong
0,are you coming to day for class
0,is toshiba portege m gd
0,friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni
0,ok take ur time n enjoy ur dinner
1,romcapspam everyone around should be responding well to your presence since you are so warm and outgoing you are bringing in a real breath of sunshine
0,whats the staff name who is taking class for us
0,do well all will for little time thing of good times ahead
0,yo you gonna still be in stock tomorrowtoday im trying to get a dubsack
0,thursday night yeah sure thing well work it out then
0,spending new years with my brother and his family lets plan to meet next week are you ready to be spoiled
0,sir hope your day is going smoothly i really hoped i wont have to bother you about this i have some bills that i cant settle this month i am out of all extra cash i know this is a challenging time for you also but i have to let you know
0,no break time one how i come out n get my stuff fr
0,happy birthday may all ur dreams come true
0,call me when youcarlos isare here my phones vibrate is acting up and i might not hear texts
0,i don wake since i checked that stuff and saw that its true no available spaces pls call the embassy or send a mail to them
0,sir i am waiting for your call
0,am i that much bad to avoid like this
0,so ll be submitting da project tmr rite
0,did either of you have any ideas do you know of anyplaces doing something
0,ok how many should i buy
0,just sent you an email to an address with incomm in it is that right
0,how will i creep on you now
0,we r outside already
0,where are youwhen wil you reach here
0,just hopeing that wasnt too pissed up to remember and has gone off to his sisters or something
0,he also knows about lunch menu only da i know
1,a link to your picture has been sent you can also use
0,in sch but neva mind u eat st lor
0,you can jot down things you want to remember later
0,staff of placement training in amrita college
0,sounds gd haha can wah u yan jiu so fast liao
0,watch lor i saw a few swatch one i thk quite ok ard but i need nd opinion leh
1,freemsg month unlimited free calls activate smartcall txt call to no subscriptngbpwk unlimited calls help stoptxt stop landlineonly
0,thanks da thangam i feel very very happy dear i also miss you da
1,december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update vco free on
0,super msg danalla timing
0,a bloo bloo bloo ill miss the first bowl
0,how stupid to say that i challenge godyou dont think at all on what i write instead you respond immed
0,yo call me when you get the chance a friend of mine wanted me to ask you about a big order
0,same as kallis dismissial in nd test
0,k did you call me just now ah
0,cant take any major roles in community outreach you rock mel
1,urgent this is our nd attempt to contact u your prize from yesterday is still awaiting collection to claim call now aclpm
0,ive reached home n i bathe liao u can call me now
0,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
0,do u noe how send files between computers
0,oh ok wats ur email
0,sorry went to bed early nightnight
1,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd on or call optout
0,nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication it is very champlaxigating i think it is atrocious wotz ur opinion junna
0,u should make a fb list
0,well obviously not because all the people in my cool college life went home
1,mths half price orange line rental latest camera phones free had your phone mths call mobilesdirect free on to update now orstoptxt
0,ok lor sony ericsson salesman i ask shuhui then she say quite gd use so i considering
0,dude u knw also teluguthts gudk gud nyt
0,is there any training tomorrow
0,dear where you will be when i reach there
0,i am in your office na
0,heygreat dealfarm tour am to pm pax deposit by may
0,watever relation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories feeling
0,you please give us connection today itself before ltdecimalgt or refund the bill
0,i thought we were doing a king of the hill thing there
0,ha then we must walk to everywhere cannot take tram my cousin said can walk to vic market from our hotel
0,oh ok no prob
1,rgent this is the nd attempt to contact uu have won call b tcsbcmwcnxx callcost ppm mobilesvary max
1,here is your discount code rp to stop further messages reply stop customer services
0,im always on yahoo messenger now just send the message to me and ill get it you may have to send it in the mobile mode sha but ill get it and will reply
0,do you hide anythiing or keeping distance from me
0,awesome that gonna be soon or later tonight
0,are your freezing are you home yet will you remember to kiss your mom in the morning do you love me do you think of me are you missing me yet
0,true lov n care wil nevr go unrecognized though somone often makes mistakes when valuing it but they will definitly undrstnd once when they start missing it
1,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code k valid hours only
1,and are premium phone services call
0,check wid corect speling ie sarcasm
0,pls dont forget to study
0,r u saying i should re order the slippers cos i had to pay for returning it
0,oh kay on sat right
1,eerie nokia tones u rply tone title to eg tone dracula to titles ghost addamsfa munsters exorcist twilight poboxwwq p
1,u r a winner u ave been specially selected receive cash or a holiday flights inc speak to a live operator claim pmin
0,im going lunch now wif my family then aft dat i go str orchard lor
